movie_id,title,year,genre,rating,votes,runtime_min,budget_usd,revenue_usd
68,The Broken Game,2019,Crime,6.0,13910,144,133552144,138221135
69,The Eternal Road,1991,Drama,7.5,1603105,150,6568815,20340632
70,The Lost City,2012,Romance,6.7,6739,86,127167455,116079912
71,The The Dream,2001,Documentary,6.1,30190,115,68752800,66145060
72,The Dark Mind,2001,Sci-Fi,5.4,919,154,204056163,274173765
73,The Shadow Ocean,2010,Animation,7.3,278138,78,170120316,293545332
74,The Broken Heart,1975,Documentary,7.3,26841,89,124868974,50157905
75,The Gold Knight,1990,Sci-Fi,5.7,1556,170,237042344,87725816
76,The Wild Blood,2021,Romance,6.7,4132,159,132436828,554628159
77,The Silent Light,2010,Drama,6.6,1354,127,12716482,9497611
78,The Silver Light,2006,Comedy,5.1,240429,87,235663691,613708839
79,The Night River,1996,Horror,8.2,12058,166,239220006,5558381211
80,The The House,1981,Romance,4.3,449970,87,120099054,71613400
81,The Last Edge,1978,Horror,6.1,1646,147,184019393,454700067
82,The Eternal Road,2014,Action,7.8,76945,149,39417871,14960110
83,The Iron Mind,2004,Horror,8.2,2691,119,158725078,390824704
84,The The Light,2005,Sci-Fi,5.3,2486,120,155299903,65422605
85,The Iron Star,1975,Crime,4.5,53250,152,201030627,255923573
86,The Fire Hour,1997,Action,5.6,6697,107,182936011,1627346156
87,The Fire Dream,1994,Romance,6.6,12915,112,88702997,200399282
88,The Storm Hour,2008,Documentary,6.1,22213,96,69979880,294640411
89,The Silent Knight,1979,Sci-Fi,8.8,1944578,125,228027804,701592525
90,The Red Hour,2009,Thriller,9.3,2848,170,181480109,126717607
91,The Broken Hour,2005,Drama,9.4,264663,103,174852863,645743416
92,The Neon Line,1977,Crime,7.0,199003,138,32170854,13833131
93,The Red Mind,2022,Documentary,6.1,538300,153,110552773,424638155
94,The Lost Rain,2003,Comedy,3.6,21541263,120,17253791,18771677
95,The Night Game,2017,Drama,7.0,76028,172,149769020,106521155
96,The The War,2013,Action,8.4,5424,107,215349422,55966703
97,The Last Heart,1997,Documentary,6.8,10591,81,35026486,113420499
98,The Steel Ocean,2024,Documentary,5.5,6871,132,136248169,53164060
99,The Last River,2016,Romance,7.0,19525,162,29980782,33638850
100,The Silent Edge,2013,Animation,6.4,5536,154,170940239,383782211
101,The Eternal Star,1993,Horror,4.7,706101,173,148997923,325892294
102,The Gold Blood,1996,Drama,7.0,142681,168,26524410,22427745
103,The Broken Blood,2018,Horror,7.0,245546,150,151749705,282283162
104,The Fire Heart,2021,Thriller,6.3,2539,114,95394305,32378151
105,The Silver Edge,1981,Animation,5.4,3527,103,217686836,222753113
106,The Iron Game,1976,Romance,7.9,65705,163,72792452,32318918
107,The Eternal Game,1975,Drama,6.8,39349,169,170965816,250960127
108,The Last Road,1998,Documentary,7.2,8462,147,161047601,46703074
109,The Hollow Heart,2017,Animation,4.8,15133,140,31552654,31592525
110,The Gold Ocean,2017,Romance,7.4,9477,151,15705420,11939135
111,The Red River,1982,Horror,8.8,3658,165,62769874,84959609
112,The The Game,2022,Drama,6.6,40510,165,172836720,198893593
113,The Last Light,2014,Sci-Fi,4.4,9495,88,66314768,74467301
114,The Steel Mind,2022,Romance,7.0,9646,96,21502932,29621139
115,The Last City,1997,Documentary,6.1,90698,93,69710946,25487216
116,The Silver Game,2004,Romance,3.9,835439,132,183840374,1319318757
117,The Eternal Rain,1984,Action,5.0,201456,150,16078588,16496312
118,The Hollow Dream,1978,Action,7.1,11710,157,232995351,408802129
119,The Storm River,2003,Animation,8.0,1468,139,41496460,233847237
120,The Red Blood,2016,Sci-Fi,5.5,4946,131,118956389,178497864
121,The Silver War,1999,Romance,5.4,108383,157,90831750,188009313
122,The Last Ocean,1980,Animation,7.2,30657,119,84277196,71981754
123,The The Blood,1999,Sci-Fi,5.7,299,169,184989536,452706384
124,The Lost World,1986,Animation,5.5,231331,173,131532356,76604929
125,The Silver City,2022,Documentary,6.8,2004,91,161322121,169178329
126,The Eternal Star,1977,Animation,6.2,8560,105,120238682,349228259
127,The Silent World,1990,Animation,5.6,11559,122,183081601,225518563
128,The Neon Hour,2001,Animation,8.9,73106,107,15006908,138724678
129,The The Line,1982,Action,6.0,2563,103,220232110,261328365
130,The Lost Game,2000,Drama,8.8,22225,85,101639854,68568545
131,The Last Knight,1983,Sci-Fi,9.5,12586,172,190390924,223925217
132,The Iron Star,1988,Sci-Fi,7.2,281300,168,164445007,234200811
133,The The World,1982,Crime,7.9,141131,89,225596648,1706670083
134,The Shadow River,1990,Animation,6.9,63449,75,166036691,124473890
135,The Silent Blood,1998,Sci-Fi,8.1,189978,145,6458448,6114814
136,The Storm War,2022,Action,7.2,2999,155,28827057,225917780
137,The Iron Mind,1997,Action,4.0,14787,155,49929876,161466141
138,The Wild Road,1987,Action,5.8,152366,114,139347228,73047639
139,The Eternal Light,2023,Romance,5.8,45944,177,99789394,112481182
140,The Broken River,1986,Horror,5.6,21462,177,140392050,122511352
141,The Broken City,2013,Documentary,7.4,10011,116,178414153,127916566
142,The Red World,1997,Drama,6.5,11338,120,166047937,29996879
143,The Red Blood,1976,Documentary,7.7,10476,147,9693368,22947552
144,The Neon Hour,2023,Sci-Fi,8.0,11318,110,68004617,30046685
145,The Eternal River,2024,Romance,6.4,365307,90,37434319,152506240
146,The Steel Star,2017,Comedy,8.0,12583,144,78943530,334883942
147,The Fire Edge,1987,Comedy,6.8,21330,148,100028837,5022640
148,The Red War,1979,Animation,5.5,107288,173,110906474,114480894
149,The Shadow City,2015,Romance,4.5,1702,82,224174771,141341904
150,The Silver Dream,2020,Comedy,5.2,24114,85,68271351,32838468
151,The Hollow House,2007,Action,5.3,30756,154,194443384,743449313
152,The Wild Dream,1980,Sci-Fi,5.0,46865,173,154581911,140378353
153,The Blue Game,2016,Crime,8.0,608431,113,122747327,135536186
154,The Red World,1984,Animation,6.1,2245,168,232063165,201509146
155,The Silver Line,1981,Thriller,5.8,7624,87,14584254,10974251
156,The Last Light,1985,Animation,7.9,56189,95,134752136,663322902
157,The Wild Ocean,2004,Animation,7.5,12944,138,161395223,1452421033
158,The Dark Light,1975,Action,6.3,178648,108,196288959,180138289
159,The Silver Edge,2011,Comedy,5.3,6754,132,206193167,454153064
160,The Fire Mind,1983,Crime,6.0,324292,176,92022516,145245031
161,The Silent Edge,2007,Sci-Fi,6.2,192864,94,163741818,654725175
162,The The Blood,2012,Romance,6.7,837,143,132492209,298252587
163,The Hollow Code,2018,Thriller,7.6,689442,151,128396840,53904551
164,The Silent War,2021,Thriller,7.4,1138,142,169852676,1234483576
165,The Steel Edge,1977,Documentary,4.5,3300,128,41649519,46605950
166,The Shadow Rain,2022,Animation,5.5,312329,141,56657865,72059249
167,The Night Road,1996,Animation,4.5,1145347,177,187109874,115353967
168,The Red Dream,1994,Sci-Fi,5.9,8294,101,186284865,420812669
169,The Blue Mind,1993,Animation,8.0,96084,111,192700843,750066691
170,The Steel Star,1992,Thriller,8.0,864,150,65231791,23098566
171,The Wild Heart,1978,Thriller,7.5,16366,92,2390882,595165
172,The Dark City,2023,Horror,7.2,229758,157,16881335,29958073
173,The Silver Hour,1986,Romance,6.8,302,112,236348953,102961008
174,The Lost Game,1993,Drama,6.3,14233,142,133583605,182120053
175,The Shadow Edge,2021,Horror,5.5,369,176,80194970,174781933
176,The Storm Star,2002,Action,6.8,23327,160,26604744,19141207
177,The Red Star,1991,Action,5.4,6683,149,195047300,311857887
178,The Iron Hour,2017,Sci-Fi,7.5,3328,126,185166485,260468564
179,The Wild Dream,1998,Thriller,5.8,4990,170,163601811,106704473
180,The Red River,2023,Crime,5.9,643,175,22976893,34029553
181,The Lost Mind,1982,Crime,8.1,23018,94,45167606,32971131
182,The Eternal Code,2006,Action,7.2,1253,178,15934623,18253727
183,The Dark Line,2010,Romance,4.0,78295,179,1809459,6639373
184,The Silent Light,2019,Comedy,7.1,5690,173,173208055,49807620
185,The Neon Line,2018,Animation,9.3,14465,103,225095720,105326555
186,The Broken Edge,1999,Action,5.9,96220,119,42640077,88937367
187,The Blue House,1990,Drama,6.7,45852,169,12874707,13961198
188,The Night Ocean,2007,Drama,7.1,640758,148,161502302,2860834015
189,The Broken Dream,2017,Documentary,5.1,3864,150,237146399,522102116
190,The Silent City,1978,Animation,6.3,342704,115,187913864,214274880
191,The Broken Dream,2005,Animation,6.6,92383,134,246548965,91415150
192,The Red River,1983,Animation,7.5,13175,117,174598781,63437838
193,The Blue Heart,2021,Thriller,6.7,7579,80,235510706,502239141
194,The Night Edge,1996,Thriller,6.1,6497,169,32491826,245910005
195,The Steel Heart,2000,Documentary,8.0,101347,143,175139809,170480121
196,The Storm Line,1981,Action,5.6,929971,172,226413623,207546845
197,The Hollow Star,2011,Documentary,8.0,61682,112,41912626,28751753
198,The Shadow Blood,2010,Drama,4.8,118563,107,205913056,447931467
199,The Last House,1983,Action,6.2,500863,157,16765765,29212192
200,The Eternal Blood,2001,Action,4.9,759,83,190829385,119715014
201,The Steel Line,2014,Drama,4.4,16165,167,74750155,109958399
202,The Red Road,1981,Horror,4.0,449449,105,52521369,93325139
203,The Silent Dream,1980,Documentary,5.5,1122,85,176485845,61703636
204,The Storm Code,1978,Comedy,7.5,106824,85,135179714,967742411
205,The Storm Knight,2008,Thriller,7.4,30162,84,184724940,279088112
206,The Neon Game,2012,Horror,6.0,4539,147,225049802,1943979167
207,The Last Game,2023,Crime,6.3,44569,170,93840952,32506765
208,The Eternal Heart,2024,Thriller,4.0,57877,174,88611064,39401273
209,The Night River,1997,Comedy,5.2,1629,123,24003339,62855243
210,The Lost River,1992,Action,6.1,359,156,42413386,104494623
211,The Storm Light,1994,Action,4.3,12906,140,110533524,187932631
212,The Silent City,1993,Drama,7.3,5772,167,242896864,130460945
213,The Gold Star,1992,Documentary,6.0,1555,128,81464132,106789217
214,The Silver Light,2013,Romance,8.0,46090,92,82781009,27549794
215,The Silent Game,2003,Sci-Fi,5.2,3505,163,54915660,70952515
216,The Silent Blood,2022,Comedy,8.7,81976,148,210909647,140222270
217,The Eternal Ocean,2011,Comedy,8.0,195,78,196209851,211331477
218,The Broken Light,2001,Comedy,10.0,43890,113,65967062,53922936
219,The Red Dream,2003,Crime,8.1,11050,163,113286737,218698885
220,The Silent Game,2015,Horror,6.4,1675,96,174677698,367052349
221,The Silent Rain,1981,Crime,7.6,23768,149,185593508,316220966
222,The Last Hour,2019,Drama,6.6,22080,78,130592877,55173263
223,The Storm River,1997,Sci-Fi,5.9,3149,135,27205483,25883333
224,The Storm Dream,1977,Horror,7.9,73326,118,174938101,251053343
225,The Silent Knight,2004,Thriller,6.7,1084,130,107188337,40499350
226,The Neon City,1988,Romance,7.9,1690,176,17794328,46557840
227,The Hollow Hour,1995,Romance,6.7,69372,156,85128775,176294381
228,The Silver Code,1997,Comedy,7.2,488067,179,181815133,405849001
229,The Fire Code,2018,Horror,7.0,9726,163,38945645,54276313
230,The Fire City,2002,Romance,7.0,1143,163,247735400,402198400
231,The Wild Line,2003,Documentary,4.4,445965,99,219832862,188432812
232,The Night Ocean,2001,Action,4.6,80534,96,23191727,54240844
233,The Hollow Hour,1992,Sci-Fi,6.7,202328,173,206599964,274334729
234,The Broken Hour,2024,Thriller,7.6,39859,172,193999788,230244008
235,The Broken City,1994,Crime,6.8,495,163,95121749,629170050
236,The Iron Ocean,1983,Crime,6.2,252102,143,76453185,126025367
237,The Fire Star,1992,Drama,8.1,15955,110,233746314,772766580
238,The Gold Line,2020,Horror,6.0,9786,161,106414804,137627428
239,The Eternal Heart,2003,Romance,8.7,103252,170,75685639,1554980920
240,The Last Dream,2012,Horror,7.6,428313,133,171413711,358830826
241,The Wild Game,1988,Action,9.1,21444,111,91665459,135842981
242,The Gold River,1977,Romance,6.0,18800,95,119456795,10763914
243,The Broken River,1991,Comedy,8.3,37753,155,83009512,546132402
244,The The Game,1975,Comedy,7.5,7582,150,61717647,88471470
245,The Iron War,2002,Horror,6.0,7932,178,28495085,13110211
246,The Shadow Rain,2024,Romance,5.0,99163,83,143407231,255780879
247,The Silent Blood,2021,Horror,7.0,938946,131,231844432,154741891
248,The Silver Ocean,1995,Action,8.8,83090,157,23615343,10795464
249,The Night Heart,2017,Horror,7.2,34619,125,80333964,345863862
250,The Silent Code,1982,Horror,5.8,1892,84,142810827,136033740
251,The Blue House,1998,Action,5.7,8,84,5480026,8611345
252,The Last Dream,2000,Animation,6.3,23413,139,206919523,171708387
253,The Iron Line,2014,Thriller,6.8,5232,172,225016493,624233482
254,The Shadow Hour,1978,Action,7.0,736,82,84024419,260946987
255,The Red War,2020,Sci-Fi,6.6,21615,141,211181499,601616000
256,The Steel Blood,2021,Action,6.7,9549,166,155793754,324653876
257,The Fire City,2006,Action,7.0,1398756,89,62311844,24718220
258,The Storm Road,2010,Comedy,5.8,836221,158,113573591,81758629
259,The Iron Ocean,2011,Romance,5.3,118239,177,139452062,47238047
260,The Silver Star,1980,Documentary,7.7,26466,100,79274461,125232105
261,The Broken Knight,1998,Thriller,5.1,70441,144,205140391,503431065
262,The Lost Mind,2009,Animation,5.6,825,76,90930541,1102100329
263,The Red Rain,1990,Comedy,3.4,9995,104,241863770,896250916
264,The Silent Game,2012,Romance,8.2,33250,91,64557928,7927917
265,The Eternal Game,2003,Horror,6.4,213,149,30252172,20128367
266,The Lost River,1982,Drama,7.0,718782,101,122310567,105545166
267,The Red Light,2018,Animation,5.8,34597,116,40815367,21676453
268,The Lost Rain,1978,Comedy,8.6,50096,97,9343534,15612213
269,The Last Code,1983,Crime,6.9,76078,100,222103148,174073961
270,The Wild Knight,1991,Horror,6.8,304541,86,243955016,217208053
271,The Silver Star,2018,Sci-Fi,5.3,152092,132,238142270,67412070
272,The Blue World,2006,Thriller,7.1,11248,82,24547574,21385595
273,The Red Code,2015,Animation,8.3,1525,166,97398423,112095599
274,The Dark Star,1995,Crime,6.4,13808,115,161287200,314215320
275,The Hollow Knight,1999,Romance,4.9,92747,150,86363647,662395480
276,The Wild House,2011,Comedy,8.6,36298,99,225599096,298705912
277,The Shadow Game,1978,Action,6.6,24120,153,55080182,165049580
278,The Red River,1976,Romance,7.5,367,93,208867425,68899216
279,The Wild Game,2020,Drama,7.8,3101,92,43279626,118572038
280,The Fire City,2020,Action,6.0,2186,97,102571711,47783610
281,The Red Game,2019,Drama,7.8,2430,138,38753666,38212137
282,The Lost Knight,2015,Action,6.1,160594,117,120891310,271812928
283,The Wild Code,1999,Thriller,5.1,3122,123,95282899,140431249
284,The Silent City,1985,Comedy,7.1,9582,79,80163928,38621881
285,The Storm Mind,2010,Thriller,10.0,11155,152,239841325,287352295
286,The Night Hour,2001,Action,5.1,251229,168,145988816,112510442
287,The Silver Heart,2000,Thriller,4.1,3430,129,24522558,11666965
288,The Gold River,1981,Animation,5.3,10116,89,83772984,284820154
289,The Gold Code,1999,Action,7.7,9813,108,119041920,148710930
290,The Hollow Star,1984,Animation,9.2,297318,85,180352780,135708370
291,The Last Light,1978,Action,7.9,12075,135,154736820,729129321
292,The Shadow Mind,2007,Thriller,4.3,36524,148,182874384,999891220
293,The Storm River,1983,Comedy,7.0,48401,180,169369755,51437443
294,The Silver Code,1999,Animation,6.6,33918,110,140502733,107546955
295,The Hollow Edge,2001,Documentary,7.1,38082,87,249283514,104216575
296,The Silent Game,1977,Thriller,7.0,3348,154,164384652,372664216
297,The Lost Star,1978,Drama,6.4,105081,110,227249902,292576895
298,The Last Mind,1994,Documentary,3.3,409100,180,87132432,59691640
299,The Steel Code,1988,Action,7.7,19726,122,221390178,140437909
300,The Steel Light,1986,Comedy,5.8,102799,133,14571903,2186156
301,The Gold River,2018,Sci-Fi,7.8,32608,135,158539467,244765127
302,The Gold Line,1976,Animation,6.8,13836,148,210334056,622133218
303,The Iron Road,1976,Horror,8.9,72308,91,174777479,70356430
304,The Silver Light,1999,Crime,3.7,204796,102,126278295,83965878
305,The Storm Road,1981,Romance,10.0,37014,111,81121521,201620037
306,The Night House,1992,Crime,6.7,1291,158,81206129,36213408
307,The Dark Code,2000,Crime,5.4,199434,112,70639208,307975011
308,The Red World,1987,Sci-Fi,4.7,3369,162,144515016,306733921
309,The Shadow Game,1985,Comedy,8.0,6552,91,199888901,31107132
310,The Gold Code,1989,Sci-Fi,4.1,3161,114,113869744,321874153
311,The Lost Light,2004,Animation,7.4,450821,154,20116828,25594765
312,The Hollow Rain,1994,Drama,5.2,2189,94,37873704,184787621
313,The Shadow Code,1995,Drama,7.1,2552,97,85131448,22584803
314,The Broken Heart,2006,Horror,5.8,1873026,91,165948149,183529086
315,The The Star,1975,Thriller,7.4,14162,116,204164766,558462248
316,The Last House,2019,Sci-Fi,6.7,144390,88,103958546,141491716
317,The Red Mind,1993,Drama,4.9,25491,162,36913827,3230919
318,The Silent Road,2000,Animation,7.0,803,90,99406143,766211267
319,The Silent Hour,2014,Animation,10.0,109550,77,13947999,32900116
320,The Lost World,1991,Sci-Fi,7.9,19856,163,185076936,344000398
321,The Blue Road,2014,Animation,5.9,78234,167,166812033,96927339
322,The Wild Game,1987,Thriller,6.0,9644,95,11577889,39265284
323,The Eternal Ocean,1975,Sci-Fi,7.1,954,138,41035669,390285847
324,The Storm Blood,2004,Documentary,6.5,4995,129,199250375,46350093
325,The Silent Heart,2014,Horror,6.2,11328,89,108582895,106979456
326,The Hollow Heart,2016,Crime,8.8,108011,91,187876677,490234915
327,The Dark River,2018,Sci-Fi,4.7,258992,162,237209844,103651916
328,The Hollow Star,2016,Romance,7.2,2546,161,141879734,566272465
329,The Silent War,2008,Animation,4.3,363,106,130367012,77701635
330,The Silent Star,2014,Comedy,6.2,1249,105,89823907,31949600
331,The Dark Dream,2004,Animation,4.8,1315,115,32865126,11085760
332,The Dark Star,1975,Documentary,7.1,468944,158,181247529,218303889
333,The Iron Dream,1996,Animation,4.7,16833,166,122475756,80091074
334,The Broken Hour,1998,Sci-Fi,5.8,45554,96,133183563,20353687
335,The Broken House,2014,Crime,6.7,102797,180,210760943,127607737
336,The Dark Dream,1982,Horror,7.2,120484,159,159193352,213971038
337,The Silent Edge,2012,Crime,4.8,127547,149,47613888,101168394
338,The Silent Game,1995,Sci-Fi,6.7,22537,152,246862782,517058137
339,The Storm Dream,2003,Thriller,6.8,487744,140,81238883,403003505
340,The Storm Hour,1987,Romance,5.8,673,162,93689038,37783397
341,The Broken Knight,2010,Animation,4.7,58956,170,240945326,738590306
342,The Gold War,1981,Action,6.7,45711,171,211864692,126542012
343,The Neon Star,2019,Animation,6.7,27454,132,28509267,71101518
344,The Silent Light,1999,Horror,5.6,338,177,187865571,85615840
345,The Red Code,2018,Animation,5.8,145536,131,223796995,83518138
346,The Dark Line,2022,Sci-Fi,8.1,107434,99,79967730,170641652
347,The Silver Ocean,2010,Documentary,6.4,3469,80,42259437,353509540
348,The Steel River,2011,Animation,7.3,26519,165,86324626,320854279
349,The Blue Edge,1985,Animation,5.0,3649,102,179062493,153935567
350,The Dark Game,2005,Horror,7.4,62670,157,165739133,578309151
351,The Blue Game,1982,Animation,5.2,129076,177,137562671,168409316
352,The Neon Line,1980,Comedy,7.6,652367,75,169291067,197654170
353,The Last Code,2022,Thriller,6.4,47733,84,15567475,10041776
354,The Lost Dream,1991,Action,6.2,12364,126,117239272,94472086
355,The Silver River,2016,Sci-Fi,6.4,141534,139,29490542,12632753
356,The Neon Ocean,2023,Drama,6.0,234846,180,178361524,36094484
357,The Lost House,1994,Action,5.1,926907,122,3993111,6625627
358,The Red Mind,2011,Horror,3.7,45093,85,82789909,16323371
359,The Hollow House,2016,Animation,7.0,1299,107,53164047,9621657
360,The Hollow Heart,2004,Romance,5.9,37630,160,19082552,15117707
361,The Iron Code,1997,Drama,7.9,597,99,86305012,112367489
362,The Broken Road,2011,Romance,8.0,72617,129,46268824,9957656
363,The Silver River,1983,Sci-Fi,6.0,19457,174,82999460,109262535
364,The The World,1983,Action,5.4,117096,168,238923962,715554774
365,The Hollow Ocean,2012,Drama,4.4,32641,94,99198691,24492331
366,The Fire Rain,2004,Drama,5.4,22119,121,135799501,673457404
367,The Gold Blood,1986,Thriller,4.8,98291,168,130789458,316544956
368,The Dark House,1977,Romance,5.8,73113,176,97972675,12759460
369,The Last World,1981,Sci-Fi,6.0,3706,97,102108783,208805865
370,The Steel Road,1999,Thriller,4.9,3760,119,131690904,155486042
371,The Wild Heart,1984,Documentary,7.0,51310,104,112297012,1021889360
372,The Hollow City,1988,Drama,7.7,53268,127,7025313,5727598
373,The Iron River,2015,Thriller,3.6,5149,98,139684678,210729116
374,The Fire Code,2003,Drama,6.3,43978,136,46786172,27897222
375,The Silent War,2014,Comedy,5.9,70982,133,161130705,266136981
376,The Silver Edge,1976,Action,5.6,22601,94,163540627,58892279
377,The Steel Line,2009,Romance,5.8,20536,152,145763479,754695228
378,The Hollow Code,1977,Comedy,6.5,72223,177,130419026,392897274
379,The Lost World,2002,Action,7.6,14965,165,200620866,878266866
380,The Hollow Road,1999,Sci-Fi,7.7,120363,115,110748515,113036858
381,The Wild City,2009,Romance,5.3,1976,171,55678601,37754547
382,The Fire Hour,2010,Thriller,7.1,28352,114,156062051,85081640
383,The Dark City,2003,Horror,7.2,1353,175,91848716,472168898
384,The Silver House,2015,Drama,3.2,17380,103,100545297,204134333
385,The Silver City,2015,Action,6.3,23797,175,161931058,232102175
386,The Last River,1998,Animation,6.5,97091,125,109837415,201383914
387,The The Road,1993,Drama,6.2,34066,179,75224510,89145052
388,The Steel Road,2001,Animation,4.7,23120,139,79987623,79118606
389,The Eternal Code,2011,Action,6.5,9732,106,204332687,80961186
390,The The Road,2005,Thriller,8.0,48447,115,111709752,758926642
391,The Blue Heart,1993,Thriller,8.2,372391,120,59670898,203228489
392,The Lost Hour,1990,Comedy,7.7,6235,106,225501888,387373444
393,The Steel Road,2018,Horror,8.1,11550,148,234208359,197013484
394,The Dark World,1989,Romance,6.1,58960,142,215552385,32760299
395,The Lost Game,2000,Romance,8.0,18639,141,124499259,271943810
396,The Broken Mind,2014,Horror,4.6,101452,108,64656557,62756132
397,The Night Dream,2019,Horror,6.5,11837,148,36202401,336890571
398,The Steel Dream,1999,Romance,5.2,104088,76,48407654,55930358
399,The Eternal Game,2006,Sci-Fi,5.9,32431,163,44846753,54299514
400,The Red Edge,1998,Thriller,8.2,7456,178,70179796,60130339
401,The Fire City,2011,Romance,4.7,4811,137,208968857,211923387
402,The Storm Ocean,2001,Sci-Fi,5.6,63035,84,22236446,14159991
403,The The War,2013,Thriller,5.8,5552,121,201761668,227303512
404,The Lost River,2017,Documentary,5.6,790,170,22492214,13325590
405,The Night Star,2010,Sci-Fi,8.8,627,85,176780306,803019274
406,The Storm Heart,2003,Documentary,7.3,36298,96,8669549,3386895
407,The Neon Ocean,2009,Romance,8.1,30621,133,170395529,168755364
408,The Iron Knight,2005,Action,5.8,44219,131,83642736,82721848
409,The Broken Ocean,2008,Crime,7.6,8029,76,185621842,240809655
410,The Night City,1989,Horror,4.0,209770,99,111524504,482488712
411,The Gold Ocean,1999,Animation,6.6,53612,177,245264024,624469766
412,The Silver Rain,1992,Sci-Fi,7.1,2865,98,37674735,18819937
413,The The Star,2019,Comedy,5.9,25524,88,76729544,25790989
